time,current position,reference position
9.623,0.0,-0.4
9.633,-0.0006999999999999229,-0.4
9.644,-0.0028999999999996806,-0.4
9.654,-0.005099999999999438,-0.4
9.66,-0.00689999999999924,-0.4
9.665,-0.00789999999999913,-0.4
9.671,-0.009099999999998998,-0.4
9.681000000000001,-0.011099999999998778,-0.4
9.69,-0.01289999999999858,-0.4
9.7,-0.014899999999998359,-0.4
9.71,-0.01689999999999814,-0.4
9.72,-0.01889999999999792,-0.4
9.731,-0.021099999999997676,-0.4
9.741,-0.023099999999997456,-0.4
9.751,-0.025099999999997236,-0.4
9.76,-0.026899999999997037,-0.4
9.77,-0.028899999999996817,-0.4
9.781,-0.030899999999996597,-0.4
9.791,-0.033099999999996355,-0.4
9.8,-0.034899999999996156,-0.4
9.81,-0.036899999999995936,-0.4
9.82,-0.038899999999995716,-0.4
9.83,-0.040899999999995496,-0.4
9.84,-0.042899999999995275,-0.4
9.85,-0.044899999999995055,-0.4
9.861,-0.04709999999999481,-0.4
9.871,-0.04909999999999459,-0.4
9.881,-0.05109999999999437,-0.4
9.891,-0.05309999999999415,-0.4
9.901,-0.05509999999999393,-0.4
9.911,-0.05689999999999373,-0.4
9.921,-0.05909999999999349,-0.4
9.931000000000001,-0.06109999999999327,-0.4
9.94,-0.06289999999999307,-0.4
9.951,-0.06509999999999283,-0.4
9.96,-0.06689999999999263,-0.4
9.97,-0.06889999999999241,-0.4
9.982,-0.07089999999999219,-0.4
9.991,-0.07289999999999197,-0.4
10.001,-0.07509999999999173,-0.4
10.01,-0.07689999999999153,-0.4
10.021,-0.07889999999999131,-0.4
10.031,-0.08089999999999109,-0.4
10.041,-0.08309999999999085,-0.4
10.051,-0.08489999999999065,-0.4
10.062,-0.08729999999999039,-0.4
10.071,-0.08889999999999021,-0.4
10.081,-0.09109999999998997,-0.4
10.09,-0.09289999999998977,-0.4
10.101,-0.09489999999998955,-0.4
10.111,-0.0970999999999893,-0.4
10.121,-0.09889999999998911,-0.4
10.131,-0.10109999999998887,-0.4
10.141,-0.10309999999998865,-0.4
10.151,-0.10489999999998845,-0.4
10.161,-0.1070999999999882,-0.4
10.171,-0.108899999999988,-0.4
10.181,-0.11109999999998776,-0.4
10.191,-0.11289999999998757,-0.4
10.201,-0.11509999999998732,-0.4
10.211,-0.11689999999998713,-0.4
10.221,-0.11909999999998688,-0.4
10.231,-0.12109999999998666,-0.4
10.241,-0.12289999999998646,-0.4
10.251,-0.12509999999998622,-0.4
10.261,-0.12689999999998602,-0.4
10.272,-0.12909999999998578,-0.4
10.281,-0.13109999999998556,-0.4
10.291,-0.13289999999998536,-0.4
10.301,-0.13509999999998512,-0.4
10.311,-0.13689999999998492,-0.4
10.321,-0.13909999999998468,-0.4
10.331,-0.14109999999998446,-0.4
10.341,-0.14309999999998424,-0.4
10.350999999999999,-0.14489999999998404,-0.4
10.362,-0.1470999999999838,-0.4
10.371,-0.14909999999998358,-0.4
10.381,-0.15089999999998338,-0.4
10.392,-0.15329999999998312,-0.4
10.401,-0.15509999999998292,-0.4
10.411,-0.15689999999998272,-0.4
10.422,-0.15909999999998248,-0.4
10.431,-0.16109999999998226,-0.4
10.441,-0.16289999999998206,-0.4
10.451,-0.16489999999998184,-0.4
10.461,-0.1670999999999816,-0.4
10.471,-0.1688999999999814,-0.4
10.481,-0.17109999999998116,-0.4
10.49,-0.17289999999998096,-0.4
10.501,-0.17489999999998074,-0.4
10.511,-0.17689999999998052,-0.4
10.521,-0.17909999999998027,-0.4
10.531,-0.18089999999998008,-0.4
10.542,-0.18309999999997983,-0.4
10.551,-0.18509999999997961,-0.4
10.561,-0.1870999999999794,-0.4
10.571,-0.18909999999997917,-0.4
10.581,-0.19109999999997895,-0.4
10.59,-0.19289999999997876,-0.4
10.600999999999999,-0.1950999999999785,-0.4
